App,Translated_Review,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity
Telegram,Average experience overall.,Neutral,0,0.211605
WhatsApp,Useful but has minor issues.,Neutral,0,0.143469
Google Maps,,,,
Adobe Acrobat Reader,Excellent app with useful features.,Positive,0.648996,0.772816
WhatsApp,Love the interface and performance.,Positive,0.422553,0.89544
YouTube,Works fine but can be better.,Neutral,0,0.238936
Canva,Excellent app with useful features.,Positive,0.503942,0.487184
Flipkart,"Not bad, just decent.",Neutral,0,0.368114
Swiggy,Love the interface and performance.,Positive,0.908361,0.489308
Canva,Works great especially for daily use.,Positive,0.818455,0.988177
Zomato,Very helpful and easy to use.,Positive,0.562728,0.867288
Amazon Shopping,Very helpful and easy to use.,Positive,0.761456,0.746838
Adobe Acrobat Reader,Works great especially for daily use.,Positive,0.330722,0.503564
Swiggy,Very helpful and easy to use.,Positive,0.874282,0.8208
Canva,"Not bad, just decent.",Neutral,0,0.23387
Canva,Very helpful and easy to use.,Positive,0.370101,0.599385
Swiggy,Very helpful and easy to use.,Positive,0.311704,0.795991
Netflix,Love the interface and performance.,Positive,0.51952,0.375457
Amazon Shopping,Excellent app with useful features.,Positive,0.888882,0.322273
Amazon Shopping,Excellent app with useful features.,Positive,0.507814,0.676711
Instagram,App crashes frequently.,Negative,-0.387745,0.380186
Swiggy,Very helpful and easy to use.,Positive,0.289242,0.547812
Instagram,,,,
WhatsApp,Love the interface and performance.,Positive,0.80957,0.606145
Adobe Acrobat Reader,Love the interface and performance.,Positive,0.687176,0.322271
YouTube,Not satisfied with the performance.,Negative,-0.173356,0.719261
Instagram,,,,
Swiggy,Too many ads.,Negative,-0.784493,0.46861
Spotify,"Amazing experience, highly recommended.",Positive,0.852819,0.982388
Netflix,"Amazing experience, highly recommended.",Positive,0.957479,0.332102
Netflix,Works great especially for daily use.,Positive,0.943131,0.804212
WhatsApp,Very helpful and easy to use.,Positive,0.55048,0.614061
Adobe Acrobat Reader,Excellent app with useful features.,Positive,0.670647,0.384092
Canva,,,,
WhatsApp,Excellent app with useful features.,Positive,0.887708,0.256686
Canva,Love the interface and performance.,Positive,0.305849,0.948411
Spotify,"Amazing experience, highly recommended.",Positive,0.845998,0.352328
Adobe Acrobat Reader,"Amazing experience, highly recommended.",Positive,0.57362,0.783261
Telegram,"It's okay, needs some improvements.",Neutral,0,0.301311
Flipkart,Works great especially for daily use.,Positive,0.352167,0.558891
